City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
New norfolk,AU,-42.78,147.06,12.06,56,7,0.45,clear sky
Jamestown,SH,42.10,-79.24,15.77,52,90,3.6,overcast clouds
Provideniya,RU,64.38,-173.30,1.02,89,94,1.12,overcast clouds
Ribeira grande,PT,38.52,-28.70,21.99,84,100,1.25,overcast clouds
Sahrak,AF,nan,nan,,,,,
Xinqing,CN,48.23,129.50,16.36,64,0,0.75,clear sky
Bijie,CN,27.31,105.29,20.24,77,32,4.31,scattered clouds
Tuktoyaktuk,CA,69.45,-133.04,1,93,90,6.69,light rain
Hami,CN,42.80,93.45,13.36,22,0,4.06,clear sky
Kanniyakumari,IN,8.08,77.57,26.42,83,100,8.13,overcast clouds
Mutsu,JP,41.29,141.22,21.11,66,100,4.58,overcast clouds
Vondrozo,MG,-22.82,47.28,15.56,91,50,0.3,scattered clouds
Sept-iles,CA,50.20,-66.38,11.7,96,75,0.45,broken clouds
Wladyslawowo,PL,54.79,18.40,11.75,89,91,3.36,overcast clouds
Mae sai,TH,20.43,99.88,23.02,98,96,0.94,overcast clouds
Saint-philippe,RE,-21.36,55.77,19.77,87,68,5.69,light rain
Jacareacanga,BR,-6.22,-57.75,21.79,91,100,0.54,overcast clouds
Port lincoln,AU,-34.73,135.87,13.56,63,25,7.19,scattered clouds
Leningradskiy,RU,69.38,178.42,-0.78,74,100,2.3,overcast clouds
Gizo,SB,-8.10,156.84,28.95,71,80,1.92,light rain
Nanortalik,GL,60.14,-45.24,2.99,76,5,2.47,clear sky
Bredasdorp,ZA,-34.53,20.04,14.62,82,53,3.09,broken clouds
Albany,AU,42.60,-73.97,16.96,85,100,0.89,overcast clouds
Ballachulish,GB,56.68,-5.13,15.79,95,100,2.2,heavy intensity rain
Ancud,CL,-41.87,-73.82,5.74,66,3,3.05,clear sky
Horqueta,PY,-23.34,-57.06,23.41,37,0,1.93,clear sky
Birin,DZ,26.89,88.07,17.91,82,18,2.02,few clouds
Gao,ML,16.64,1.64,32.69,23,33,2.49,scattered clouds
Chimore,BO,-16.98,-65.13,29.06,42,100,1.48,overcast clouds
Ostrovnoy,RU,68.05,39.51,7.31,82,100,2.1,overcast clouds
Olafsvik,IS,64.89,-23.71,5.54,78,100,18.46,overcast clouds
Avarua,CK,-21.21,-159.78,23.03,94,90,5.14,light rain
Kutum,SD,14.20,24.67,23.99,60,99,3.51,overcast clouds
Puerto el triunfo,SV,13.28,-88.55,30.48,83,100,1.7,light rain
Ilulissat,GL,69.22,-51.10,-5.99,58,75,1.54,broken clouds
Deputatskiy,RU,69.30,139.90,-1.59,84,100,8.27,overcast clouds
Kobojango,BW,nan,nan,,,,,
Samalaeulu,WS,nan,nan,,,,,
Basoko,CD,1.24,23.62,20.76,94,100,0.07,light rain
Hilo,US,19.73,-155.09,28.85,81,75,5.66,broken clouds
Barentsburg,SJ,nan,nan,,,,,
Grand river south east,MU,nan,nan,,,,,
Iguape,BR,-24.71,-47.56,19.08,94,2,1.28,clear sky
Mochitlan,MX,nan,nan,,,,,
Saint george,BM,37.10,-113.58,32.46,21,1,0.89,clear sky
College,US,64.86,-147.80,1.99,87,75,0,broken clouds
Noumea,NC,-22.28,166.46,25.99,60,56,6.93,broken clouds
Lebu,CL,-37.62,-73.65,9.02,85,20,4.27,few clouds
Kamenka,RU,51.32,42.77,8.78,88,100,3.99,overcast clouds
Arraial do cabo,BR,-22.97,-42.03,21.27,80,100,12.18,overcast clouds
Snina,SK,48.99,22.15,13.91,87,0,1.22,clear sky
Blonduos,IS,nan,nan,,,,,
Zabid,YE,14.20,43.32,29.85,69,40,3.5,scattered clouds
Vila,VU,42.03,-8.16,12.49,94,85,2.03,overcast clouds
Lermontovka,RU,47.15,134.34,17.57,61,7,1.47,clear sky
Kavieng,PG,-2.57,150.80,28.82,75,28,5.56,light rain
Laguna,BR,38.42,-121.42,34.57,38,1,1.79,clear sky
Nakhon phanom,TH,17.33,104.42,23.89,94,100,2.07,light rain
Arlit,NE,18.74,7.39,30.44,12,0,3.37,clear sky
Cherskiy,RU,68.75,161.30,0.6,98,100,5.91,light snow
Saint-joseph,RE,-21.37,55.62,19.21,83,32,5.89,light rain
Bohdan,UA,48.04,24.35,9.07,92,0,0.46,clear sky
Bengkulu,ID,-3.80,102.27,23.58,96,100,1.18,light rain
Amderma,RU,nan,nan,,,,,
Sao joao da barra,BR,-21.64,-41.05,22.3,75,52,9.47,broken clouds
Conde,BR,-7.26,-34.91,23.7,94,75,2.57,broken clouds
Richards bay,ZA,-28.78,32.04,20.31,74,6,5.83,clear sky
San eduardo,CO,12.17,125.45,28.83,73,86,0.37,overcast clouds
Poum,NC,-20.23,164.02,22.48,70,58,2.4,broken clouds
Tyler,US,32.35,-95.30,28.03,54,1,2.06,clear sky
Katsuura,JP,35.13,140.30,22.33,60,100,6.17,overcast clouds
San andres,CO,12.58,-81.70,29.01,84,90,4.63,overcast clouds
Eregli,TR,37.51,34.05,12.72,56,0,0.69,clear sky
Alotau,PG,nan,nan,,,,,
Saint-georges,GF,12.06,-61.75,27.82,83,20,0,few clouds
Norman wells,CA,65.28,-126.83,2.02,87,90,7.2,light snow
Teya,RU,60.38,92.63,1.57,86,100,2.04,overcast clouds
Saldanha,ZA,-33.01,17.94,16.03,94,6,2.42,clear sky
Cidreira,BR,-30.18,-50.21,17.11,91,1,4.08,clear sky
Grindavik,IS,63.84,-22.43,5.26,70,75,10.29,broken clouds
Porto novo,CV,6.50,2.60,22.9,89,100,1.79,light rain
Panjab,AF,34.39,67.02,6.67,21,0,1.09,clear sky
Berwick,CA,41.05,-76.23,17.08,81,100,0.81,overcast clouds
Huntsville,CA,34.73,-86.59,20.75,80,1,0,clear sky
Arkalokhorion,GR,nan,nan,,,,,
General roca,AR,-39.03,-67.58,18.22,34,3,12,clear sky
Flin flon,CA,54.77,-101.86,11.09,78,6,2.51,clear sky
Bahia blanca,AR,-38.72,-62.27,18.45,56,78,6.01,broken clouds
Ahipara,NZ,-35.17,173.17,15.26,87,100,3.2,overcast clouds
Shimanovsk,RU,52.00,127.70,14.15,70,100,3.33,overcast clouds
Naze,JP,28.37,129.48,23.51,83,86,5.59,overcast clouds
Guerrero negro,MX,27.98,-114.06,22.35,73,87,7.98,overcast clouds
Le port,RE,-20.94,55.29,20,75,8,3.27,clear sky
Isangel,VU,-19.55,169.27,25.06,65,75,3.09,broken clouds
Santo antonio do ica,BR,-3.10,-67.94,23.86,93,74,1.29,broken clouds
Tuatapere,NZ,-46.13,167.68,7.12,71,86,4.93,overcast clouds
Smoky lake,CA,54.12,-112.47,19.32,45,100,2.06,overcast clouds
Bahadurgarh,IN,28.68,76.92,25.06,73,0,2.22,clear sky
Kaitangata,NZ,-46.28,169.85,7.98,67,95,4.71,overcast clouds
Pisco,PE,-13.70,-76.22,16.68,88,93,7.72,overcast clouds
Fairbanks,US,64.84,-147.72,2,86,75,0,light rain
Dinsor,SO,nan,nan,,,,,
Kodiak,US,57.79,-152.41,7.73,49,90,3.09,overcast clouds
Lompoc,US,34.64,-120.46,25.08,80,1,4.63,clear sky
Kloulklubed,PW,7.04,134.26,30.28,75,47,6.02,scattered clouds
Dikson,RU,73.51,80.55,2.33,85,100,8.88,overcast clouds
Beloha,MG,-25.17,45.05,19.17,77,0,2.53,clear sky
Khatanga,RU,71.97,102.50,-1.16,88,89,4.83,overcast clouds
Stamsund,NO,nan,nan,,,,,
Cabo san lucas,MX,22.89,-109.91,33.06,75,50,4.14,scattered clouds
Roald,NO,62.58,6.13,14.08,72,90,6.17,overcast clouds
Benguela,AO,-12.58,13.41,20.75,84,7,3.25,clear sky
Kununurra,AU,-15.77,128.73,27.99,51,0,1.54,clear sky
Zunyi,CN,27.69,106.91,22.29,82,1,2.53,clear sky
Butaritari,KI,3.07,172.79,28.43,75,13,4.67,light rain
Portland,AU,45.52,-122.68,29.2,38,20,0.89,few clouds
Thompson,CA,55.74,-97.86,10.09,76,90,1.03,overcast clouds
Codrington,AG,-38.27,141.97,12.61,56,33,2.25,scattered clouds
Mayumba,GA,-3.43,10.66,24.11,88,100,2.22,overcast clouds
Vaxjo,SE,56.88,14.81,6.51,100,100,0,fog
Tasiilaq,GL,65.61,-37.64,3.09,60,100,4.36,overcast clouds
Simbahan,PH,6.30,120.58,28.24,73,35,1.77,scattered clouds
Longyearbyen,SJ,78.22,15.64,3.91,87,75,1.54,light intensity drizzle
Port alfred,ZA,-33.59,26.89,16.45,68,23,5.62,few clouds
Batticaloa,LK,7.71,81.69,26.66,78,100,2.36,overcast clouds
Maiduguri,NG,11.85,13.16,25.79,58,100,3.23,overcast clouds
San quintin,MX,30.48,-115.95,20.97,78,83,4.22,broken clouds
Kapaa,US,22.08,-159.32,29.99,72,40,1.79,light rain
Haines junction,CA,60.75,-137.51,8.97,40,100,4.12,overcast clouds
Livramento,BR,-3.03,-60.18,27.37,94,40,1.54,thunderstorm
Inhambane,MZ,-23.86,35.38,20.05,86,0,3.02,clear sky
Tagusao,PH,9.19,117.81,28.67,73,100,0.13,overcast clouds
Werda,BW,-25.27,23.28,21.06,21,6,3.25,clear sky
San patricio,MX,28.02,-97.52,27.38,53,6,3.94,clear sky
Beringovskiy,RU,63.05,179.32,2.88,57,28,2.32,scattered clouds
Tingo maria,PE,-9.29,-76.01,21.49,79,99,1.06,overcast clouds
Wulanhaote,CN,nan,nan,,,,,
Geraldton,AU,-28.77,114.60,19.23,55,90,6.17,overcast clouds
Odlabari,IN,26.83,88.62,25.85,76,68,1.6,broken clouds
Sao felix do xingu,BR,-6.64,-51.99,25.82,63,71,0.75,broken clouds
Tezu,IN,27.92,96.17,27.82,66,36,0.65,scattered clouds
Porto,BR,41.15,-8.61,17.89,94,75,3.13,broken clouds
Luderitz,NA,-26.65,15.16,16.27,50,9,6.03,clear sky
Mitsamiouli,KM,-11.38,43.28,24.25,73,18,2.73,few clouds
Orotukan,RU,62.27,151.70,1.4,100,100,3.56,light rain
Fort saint john,CA,nan,nan,,,,,
Jiaohe,CN,43.73,127.34,16.79,92,88,1.35,overcast clouds
Albemarle,US,35.35,-80.20,19.78,65,1,0,clear sky
Mys shmidta,RU,nan,nan,,,,,
Kidal,ML,18.44,1.41,30.31,10,0,4.86,clear sky
Fortuna,US,40.60,-124.16,21.22,67,1,1.79,clear sky
Airai,PW,-8.93,125.41,24.27,37,61,1.13,broken clouds
Challans,FR,46.84,-1.87,19.11,88,94,5.91,overcast clouds
Daru,PG,-9.08,143.21,26.4,88,39,6.6,scattered clouds
Kurumkan,RU,54.30,110.30,6.58,90,100,1.75,light rain
Alice springs,AU,-23.70,133.88,23.75,16,0,7.2,clear sky
Baculin,PH,7.45,126.58,26.84,81,100,1.18,overcast clouds
Egvekinot,RU,66.32,-179.17,-3.99,65,91,1.53,overcast clouds
Coquimbo,CL,-29.95,-71.34,13.85,82,0,3.09,clear sky
Bhinmal,IN,25.00,72.25,26.11,87,98,2.89,overcast clouds
Komsomolskiy,RU,40.43,71.72,14.68,26,0,0.35,clear sky
Mount isa,AU,-20.73,139.50,29.87,12,5,4.12,clear sky
Broome,AU,42.25,-75.83,17.21,69,1,3.09,clear sky
Mar del plata,AR,-38.00,-57.56,14.49,64,0,1.34,clear sky
Floro,NO,61.60,5.03,13.87,87,90,6.69,overcast clouds
Miandrivazo,MG,-19.52,45.47,23.57,66,14,0.92,few clouds
Sao filipe,CV,14.90,-24.50,25.65,75,21,0.87,few clouds
Magdalena,PH,14.20,121.43,30.79,71,58,2.74,broken clouds
Dhidhdhoo,MV,6.88,73.10,26.91,82,100,9.85,overcast clouds
Kapuskasing,CA,49.42,-82.43,11.05,82,75,1.54,broken clouds
Awjilah,LY,29.11,21.29,20.96,61,0,3.69,clear sky
Aksarka,RU,66.56,67.80,-0.92,87,48,3.07,scattered clouds
Saleaula,WS,nan,nan,,,,,
Leshukonskoye,RU,64.90,45.76,6.7,95,100,2.74,overcast clouds
Chuy,UY,-33.70,-53.46,14.45,97,78,1.73,broken clouds
Saint-pierre,PM,-21.34,55.48,19.82,72,20,2.57,few clouds
Keningau,MY,5.34,116.16,27.25,88,65,0.41,broken clouds
Bela vista,BR,-22.11,-56.52,24.81,39,0,1.65,clear sky
Pitimbu,BR,-7.47,-34.81,24.33,83,20,5.8,few clouds
Kruisfontein,ZA,-34.00,24.73,13.85,68,7,3.28,clear sky
Zuwarah,LY,32.93,12.08,26.58,59,0,5.86,clear sky
Sentyabrskiy,RU,nan,nan,,,,,
Mankovo-kalitvenskoye,RU,nan,nan,,,,,
Kashi,CN,39.45,75.98,17.56,25,0,4,clear sky
Gat,LY,31.61,34.76,22.44,62,0,2.21,clear sky
Gondanglegi,ID,-7.75,112.01,27.8,69,100,4.74,overcast clouds
Jumla,NP,29.27,82.18,15.02,86,80,1.81,broken clouds
Dingle,IE,11.00,122.67,28.74,77,64,2.18,broken clouds
Zaysan,KZ,47.47,84.87,3.73,32,70,1.07,broken clouds
Matara,LK,5.95,80.54,25.94,89,91,5.64,overcast clouds
Padang,ID,-0.95,100.35,25.03,84,100,1.06,overcast clouds
Aransas pass,US,27.91,-97.15,27.13,59,1,1.34,clear sky
Aksha,RU,50.28,113.29,8.83,79,100,5.65,overcast clouds
La troncal,EC,-2.40,-79.33,29.89,80,72,1.01,broken clouds
Smirnykh,RU,49.75,142.83,15.75,52,100,0.21,overcast clouds
Old saybrook,US,41.29,-72.38,20.1,88,20,0,few clouds
Karamay,CN,nan,nan,,,,,
Samusu,WS,nan,nan,,,,,
Hobyo,SO,5.35,48.53,25.02,85,96,9.38,overcast clouds
Solovetskiy,RU,nan,nan,,,,,
Asyut,EG,27.18,31.18,21.1,52,25,4,scattered clouds
Hovd,MN,48.01,91.64,3.55,28,0,3.06,clear sky
Chaa-khol,RU,nan,nan,,,,,
Ha tinh,VN,18.33,105.90,25.81,88,59,2.18,broken clouds
Souillac,MU,-20.52,57.52,22.21,83,75,5.14,broken clouds
Casper,US,42.87,-106.31,27.33,12,1,3.13,clear sky
Rungata,KI,nan,nan,,,,,
Morro bay,US,35.37,-120.85,24.49,78,25,0.45,scattered clouds
Tsiroanomandidy,MG,-18.77,46.03,18.36,68,60,1.81,broken clouds
Tumannyy,RU,nan,nan,,,,,
Saint anthony,CA,45.02,-93.22,17.88,47,1,0.45,clear sky
Hun,LY,29.13,15.95,20.51,57,0,2.48,clear sky
Port-gentil,GA,-0.72,8.78,25.05,87,100,5.42,moderate rain
Devils lake,US,48.11,-98.87,21.99,45,1,1.34,clear sky
Santa catalina,CO,9.33,122.86,28.85,73,87,0.82,overcast clouds
Nola,CF,40.92,14.53,21.99,57,100,0.04,overcast clouds
Launceston,AU,-41.45,147.17,12.56,47,0,1.34,clear sky
Nishihara,JP,26.18,127.76,28.81,84,40,3.6,scattered clouds
Lago da pedra,BR,-4.33,-45.17,26.84,68,49,3.9,scattered clouds
Port hardy,CA,50.70,-127.42,12.1,100,90,2.06,moderate rain
Cayenne,GF,4.93,-52.33,28.38,80,12,0.45,few clouds
Phan thiet,VN,10.93,108.10,27.02,81,100,1.9,overcast clouds
Pantai remis,MY,4.46,100.63,26.2,79,82,1.74,broken clouds
Tymovskoye,RU,50.85,142.66,16.24,54,12,1.82,few clouds
Novoagansk,RU,61.94,76.66,-0.72,90,53,3.35,broken clouds
Okhotsk,RU,59.38,143.30,11.1,54,59,7.28,broken clouds
Kaoma,ZM,-14.78,24.80,17.24,37,0,2.7,clear sky
Talhar,PK,24.88,68.82,26.94,86,18,4.16,few clouds
Aleksandrovsk-sakhalinskiy,RU,50.90,142.16,15.72,67,7,5.38,clear sky
Oranjemund,NA,-28.55,16.43,12.58,87,10,2.79,clear sky
Majene,ID,-3.54,118.97,28.34,72,62,3.74,broken clouds
Nieuwpoort,AN,51.12,2.77,17.48,88,90,0.51,overcast clouds
Huarmey,PE,-10.07,-78.15,17.69,84,74,4.96,broken clouds
Jishou,CN,28.32,109.72,28.36,67,0,0.91,clear sky
Veraval,IN,20.90,70.37,26.23,83,64,3.48,broken clouds
Madridejos,ES,39.47,-3.53,16.29,66,0,2.18,clear sky
Broken hill,AU,-31.95,141.43,13.84,33,0,7.72,clear sky
Xuddur,SO,4.12,43.89,21.69,83,99,6.33,overcast clouds
Kama,RU,56.31,54.09,8.47,90,100,2.31,overcast clouds
Esperance,AU,-33.87,121.90,15.91,51,22,8.02,few clouds
Kuytun,RU,54.34,101.50,2.09,67,83,1.43,broken clouds
Saint-louis,SN,16.33,-15.00,29.8,46,51,4.74,broken clouds
Marcona,PE,nan,nan,,,,,
Hervey bay,AU,-25.30,152.85,27.8,69,6,2.87,clear sky
Corrales,PE,35.24,-106.61,23.74,48,75,0.45,broken clouds
Cuenca,ES,-2.88,-78.98,14.07,62,90,4.12,overcast clouds
San policarpo,PH,12.18,125.51,28.2,77,96,0.51,overcast clouds
Brokopondo,SR,4.75,-55.17,25.51,87,40,3.57,scattered clouds
Ust-kulom,RU,61.69,53.69,7.02,94,100,4.84,overcast clouds
Salalah,OM,17.02,54.09,28.05,78,75,2.57,broken clouds
Kaeo,NZ,-35.10,173.78,15.77,83,100,2.79,overcast clouds
Ginir,ET,7.13,40.70,14.71,71,90,1.88,overcast clouds
Sisimiut,GL,66.94,-53.67,-2.76,71,7,3.67,clear sky
Chifeng,CN,42.27,118.96,16.41,76,98,1.77,overcast clouds
Nha trang,VN,12.25,109.18,27,83,96,1.74,overcast clouds
Sao francisco,BR,-15.95,-44.86,28.55,33,100,3.04,overcast clouds
Yumen,CN,40.28,97.20,11.31,32,0,2.83,clear sky
Jasper,CA,37.20,-94.35,22.25,51,20,0,few clouds
San carlos de bariloche,AR,-41.15,-71.31,4.86,75,75,6.17,broken clouds
Kawana waters,AU,nan,nan,,,,,
Severo-kurilsk,RU,50.68,156.12,9.42,86,95,5.77,overcast clouds
Cap malheureux,MU,-19.98,57.61,22.27,75,1,3.58,clear sky
Faanui,PF,-16.48,-151.75,26.2,73,0,3.74,clear sky
Nizhneyansk,RU,nan,nan,,,,,
Umzimvubu,ZA,nan,nan,,,,,
Pendra,IN,22.77,81.95,22.51,90,100,1.41,overcast clouds
Yar-sale,RU,66.83,70.83,0.17,84,10,3.09,clear sky
Nova olinda do norte,BR,-3.89,-59.09,23.9,85,88,0.97,overcast clouds
Sola,VU,-13.88,167.55,29.37,70,75,2.06,broken clouds
Clearlake,US,38.96,-122.63,29.35,29,8,3.16,clear sky
Ponta do sol,CV,32.67,-17.10,21.51,73,100,2.11,overcast clouds
Pevek,RU,69.70,170.31,-0.92,97,100,5.63,light snow
Abu samrah,QA,35.30,37.18,18.43,57,0,0.91,clear sky
Banda aceh,ID,5.56,95.32,26.82,77,100,5.11,light rain
Lagoa formosa,BR,-18.78,-46.41,24.39,39,98,1.86,overcast clouds
Vaitape,PF,-16.52,-151.75,26.21,73,0,3.79,clear sky
Peleduy,RU,59.63,112.74,2.69,96,100,7.84,moderate rain
Toliary,MG,nan,nan,,,,,
Faya,TD,18.39,42.45,17.29,25,51,2.64,broken clouds
Zhanakorgan,KZ,43.91,67.25,18.54,15,5,1.58,clear sky
Ryugasaki,JP,35.90,140.18,22.37,65,100,3.23,overcast clouds
Auki,SB,-8.77,160.70,29.46,69,20,1.72,few clouds
Georgetown,SH,5.41,100.34,28.27,89,20,1.34,few clouds
Shelopugino,RU,51.65,117.56,12.07,90,100,4.54,overcast clouds
Xining,CN,36.62,101.77,13.41,67,100,2.04,overcast clouds
Luganville,VU,-15.53,167.17,25.86,84,62,5.3,broken clouds
Lodja,CD,-3.48,23.43,21.09,94,100,1.22,overcast clouds
Huazolotitlan,MX,nan,nan,,,,,
Thakurganj,IN,26.45,88.13,26.75,79,18,2.24,few clouds
Aripuana,BR,-9.17,-60.63,24.58,76,81,0.94,broken clouds
Hellin,ES,38.51,-1.70,20.08,60,0,5.45,clear sky
Palmer,US,42.16,-72.33,18.75,82,40,0,scattered clouds
Santa isabel,US,-23.32,-46.22,19.25,95,22,0.6,few clouds
Petauke,ZM,-14.24,31.33,20.55,46,1,3.65,clear sky
Ksenyevka,RU,nan,nan,,,,,
Ginda,ER,30.69,78.49,14.43,77,0,2.9,clear sky
Erenhot,CN,43.65,111.98,17.73,50,100,2.83,overcast clouds
Mnogovershinnyy,RU,53.94,139.92,13.02,69,89,3.79,overcast clouds
Pula,HR,44.87,13.85,18.31,94,20,2.06,few clouds
Puerto carreno,CO,6.19,-67.49,25.71,83,100,2.15,overcast clouds
Sambava,MG,-14.27,50.17,20.43,81,51,5.7,broken clouds
Palabuhanratu,ID,nan,nan,,,,,
Ambovombe,MG,-25.17,46.08,18.99,79,0,2.99,clear sky
San cristobal,EC,7.77,-72.22,26.1,98,71,1.91,broken clouds
Mindelo,CV,16.89,-24.98,25.75,69,20,6.69,few clouds
Husavik,IS,66.04,-17.34,2.95,95,100,8.45,overcast clouds
Maxixe,MZ,-23.86,35.35,19.35,88,0,2.64,clear sky
Antofagasta,CL,-23.65,-70.40,13.6,73,33,2.84,scattered clouds
Mgandu,TZ,-5.95,34.13,16.72,62,28,3.67,scattered clouds
Morondava,MG,-20.28,44.28,22.36,66,67,3.41,broken clouds
Cervo,ES,43.67,-7.41,18.87,83,42,4.27,scattered clouds
Mehamn,NO,71.04,27.85,7.73,89,100,5.59,overcast clouds
Tsihombe,MG,nan,nan,,,,,
Saint-francois,GP,46.42,3.91,16.69,93,90,3.6,thunderstorm with rain
Bonavista,CA,48.65,-53.11,9.51,79,100,6.66,overcast clouds
Srednekolymsk,RU,67.45,153.68,1.89,83,100,6.98,overcast clouds
Westport,NZ,41.14,-73.36,20.55,87,100,0.45,overcast clouds
Gushikawa,JP,26.35,127.87,28.77,84,20,4.12,few clouds
Unguia,CO,8.04,-77.09,25.51,93,100,0.86,overcast clouds
Chapais,CA,49.78,-74.85,14.88,76,100,3.85,overcast clouds
Hasaki,JP,35.73,140.83,22.38,56,98,5.53,overcast clouds
Olinda,BR,-8.01,-34.86,24.85,73,40,4.63,scattered clouds
Acajutla,SV,13.59,-89.83,30.19,81,100,0.61,overcast clouds
Lagoa,PT,39.05,-27.98,21.25,83,100,2.9,overcast clouds
Torbay,CA,47.67,-52.73,8.15,88,40,4.12,scattered clouds
Marawi,SD,8.00,124.29,22.58,67,58,0.25,broken clouds
Aguie,NE,13.51,7.78,27.98,43,5,3.69,clear sky
Juneau,US,58.30,-134.42,11.02,84,90,1.54,light rain
Hwange,ZW,-18.37,26.50,20.88,29,0,1.48,clear sky
Siva,RU,29.20,25.52,21.53,59,0,3.02,clear sky
Half moon bay,US,37.46,-122.43,25.23,78,90,2.57,overcast clouds
Wanning,CN,18.80,110.40,25.85,88,100,3.01,overcast clouds
Necochea,AR,-38.55,-58.74,12.8,90,98,5.86,overcast clouds
Gasa,BT,31.50,34.47,21.62,64,0,4.21,clear sky
Kerema,PG,-7.96,145.78,28.98,73,21,3.42,few clouds
Mantua,CU,45.17,10.78,21.82,84,35,0.89,scattered clouds
Remontnoye,RU,46.56,43.65,10.23,89,28,6.21,scattered clouds
Port keats,AU,-14.25,129.55,30.29,51,5,3.38,clear sky
Iqaluit,CA,63.75,-68.51,0.85,80,90,2.68,overcast clouds
Ostersund,SE,63.18,14.64,6.25,93,90,2.57,overcast clouds
Lufilufi,WS,-13.87,-171.60,28.88,76,22,4.3,light rain
Rosario do sul,BR,-30.26,-54.91,13.28,91,0,3.23,clear sky
Kiama,AU,-34.68,150.87,16.32,52,54,6.12,broken clouds
Urumita,CO,10.56,-73.01,24.12,95,100,2.1,overcast clouds
Vao,NC,-22.67,167.48,20.17,59,100,4.81,overcast clouds
Zhigalovo,RU,54.81,105.16,2.66,73,100,2.45,overcast clouds
Fereydun kenar,IR,36.69,52.52,23.46,79,93,2.01,overcast clouds
Krechevitsy,RU,58.62,31.40,8.72,93,100,4.42,overcast clouds
Lethem,GY,3.38,-59.80,27.53,65,75,0.71,broken clouds
Panzhihua,CN,26.59,101.71,21.84,86,97,0.71,overcast clouds
Yunjinghong,CN,nan,nan,,,,,
Talnakh,RU,69.49,88.40,-0.11,67,100,0.78,overcast clouds
Manggar,ID,-2.88,108.27,28.82,71,99,2.34,overcast clouds
